"idhod","hodnota","duvernost","stapro_kod","dnn_cis","dnn_kod","sektor_cis","sektor_kod","ozp_cis","ozp_kod","rok","uzemi_cis","uzemi_kod","ukazatel_txt","ozp_txt","uzemi_txt","typ_uzemi"
"704462106","152859","verejny","726",,,"5567","13000","2307","112","2007","97","19","Investice na ochranu životního prostředí - nepodnikový sektor","Ochrana a sanace půdy, podzemních a povrchových vod","Česká republika",
"704872943","14208447","verejny","726",,,"5567","11000",,,"2007","97","19","Investice na ochranu životního prostředí - podnikový sektor",,"Česká republika",
"704462099","2063115","verejny","726",,,"5567","11000","2307","112","2007","97","19","Investice na ochranu životního prostředí - podnikový sektor","Ochrana a sanace půdy, podzemních a povrchových vod","Česká republika",
"704462105","584345","verejny","726",,,"5567","13000","2307","140","2007","97","19","Investice na ochranu životního prostředí - nepodnikový sektor","Ekologické nakládání s odpady","Česká republika",
"704462107","997566","verejny","726",,,"5567","13000","2307","113","2007","97","19","Investice na ochranu životního prostředí - nepodnikový sektor","Omezování hluku a vibrací (kromě ochrany pracovišť)","Česká republika",
"704462097","2584905","verejny","726",,,"5567","11000","2307","111","2007","97","19","Investice na ochranu životního prostředí - podnikový sektor","Ekologické nakládání s odpadními vodami","Česká republika",
"704462101","231826","verejny","726",,,"5567","11000","2307","114","2007","97","19","Investice na ochranu životního prostředí - podnikový sektor","Ochrana krajiny a biodiverzity (druhová rozmanitost)","Česká republika",
"704462096","5583003","verejny","726",,,"5567","11000","2307","130","2007","97","19","Investice na ochranu životního prostředí - podnikový sektor","Ochrana ovzduší a klimatu","Česká republika",
"704462100","227860","verejny","726",,,"5567","11000","2307","113","2007","97","19","Investice na ochranu životního prostředí - podnikový sektor","Omezování hluku a vibrací (kromě ochrany pracovišť)","Česká republika",
"704462104","3468396","verejny","726",,,"5567","13000","2307","111","2007","97","19","Investice na ochranu životního prostředí - nepodnikový sektor","Ekologické nakládání s odpadními vodami","Česká republika",
"704462115","249120","verejny","1015",,,,,"2307","114","2007","97","19","Tržby z prodeje služeb na ochranu ŽP","Ochrana krajiny a biodiverzity (druhová rozmanitost)","Česká republika",
"704462112","26425459","verejny","1015",,,,,"2307","140","2007","97","19","Tržby z prodeje služeb na ochranu ŽP","Ekologické nakládání s odpady","Česká republika",
"704462113","1171343","verejny","1015",,,,,"2307","112","2007","97","19","Tržby z prodeje služeb na ochranu ŽP","Ochrana a sanace půdy, podzemních a povrchových vod","Česká republika",
"704872945","32383750","verejny","1015",,,,,,,"2007","97","19","Tržby z prodeje služeb na ochranu ŽP",,"Česká republika",
"704462110","151935","verejny","1015",,,,,"2307","130","2007","97","19","Tržby z prodeje služeb na ochranu ŽP","Ochrana ovzduší a klimatu","Česká republika",
"704462111","4262510","verejny","1015",,,,,"2307","111","2007","97","19","Tržby z prodeje služeb na ochranu ŽP","Ekologické nakládání s odpadními vodami","Česká republika",
"704462114","82614","verejny","1015",,,,,"2307","113","2007","97","19","Tržby z prodeje služeb na ochranu ŽP","Omezování hluku a vibrací (kromě ochrany pracovišť)","Česká republika",
"704462129",,"duverny","1039",,,,,"2307","114","2007","97","19","Úspory z využití vedlejších produktů","Ochrana krajiny a biodiverzity (druhová rozmanitost)","Česká republika",
"704462126","1328118","verejny","1039",,,,,"2307","140","2007","97","19","Úspory z využití vedlejších produktů","Ekologické nakládání s odpady","Česká republika",
"704462127","598","verejny","1039",,,,,"2307","112","2007","97","19","Úspory z využití vedlejších produktů","Ochrana a sanace půdy, podzemních a povrchových vod","Česká republika",
"704872947","1438915","verejny","1039",,,,,,,"2007","97","19","Úspory z využití vedlejších produktů",,"Česká republika",
"704462124","45680","verejny","1039",,,,,"2307","130","2007","97","19","Úspory z využití vedlejších produktů","Ochrana ovzduší a klimatu","Česká republika",
"704462125","46557","verejny","1039",,,,,"2307","111","2007","97","19","Úspory z využití vedlejších produktů","Ekologické nakládání s odpadními vodami","Česká republika",
"704462128","0","verejny","1039",,,,,"2307","113","2007","97","19","Úspory z využití vedlejších produktů","Omezování hluku a vibrací (kromě ochrany pracovišť)","Česká republika",
"704872940","28541389","verejny","3780","5710","20",,,,,"2007","97","19","Neinvestiční náklady na ochranu životního prostředí - vnitřní náklady",,"Česká republika",
